Symptom 1,Symptom 2,Symptom 3,Disease,Treatment,Surgery
Chest pain (angina),light-headedness or sweating,indigestion or nausea,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Chest pain (angina),indigestion or nausea,light-headedness or sweating,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
indigestion or nausea,light-headedness or sweating,Chest pain (angina),coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
indigestion or nausea,Chest pain (angina),light-headedness or sweating,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
light-headedness or sweating,Chest pain (angina),indigestion or nausea,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
light-headedness or sweating,indigestion or nausea,Chest pain (angina),coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
light-headedness or sweating,Cold sweats.,Neck pain,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Dizziness,Neck pain,indigestion or nausea,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Cold sweats.,Dizziness,light-headedness or sweating,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Dizziness,light-headedness or sweating,Dizziness,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
chest pain(angia),indigestion or nausea,Chest pain (angina),coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Neck pain,Blured Vision,light-headedness or sweating,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Cold sweats.,Neck pain,Dizziness,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Neck pain,Dizziness,Cold sweats.,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Dizziness,Cold sweats.,Neck pain,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
